"Account","Order Date","ChannelAdvisor Order ID","Site Name","SKU","Quantity","Shipment Status Date","Distribution Center","Requested Shipping Carrier Name","Requested Shipping Class Name"
"BW - MISHON CAD","23/01/2023 5:25 PM","6641060","Amazon Seller Central - CA","15MIS_C-SMO-0059","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:25 PM","6640957","Amazon Seller Central - US","15MIS_C-DCH-0302","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:27 PM","6640934","eBay Motors Fixed Price US","15MIS_K-CAX-0054","2","","MISHONC - Chesterfield","STANDARD","BEST WAY EBAY"
"BW - MISHON","1/23/2023 5:27 PM","6640953","Amazon Seller Central - US","15MIS_K-PAD-0292","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:28 PM","6640955","Amazon Seller Central - US","15MIS_C-BLD-0202_MPK3","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:29 PM","6640956","Amazon Seller Central - US","15MIS_K-CAX-0014","4","","MISHONM - McDonough","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:30 PM","6640954","Amazon Seller Central - US","15MIS_C-BLB-0018_MPK2","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON CAD","23/01/2023 5:30 PM","6640935","Checkout Direct","15MIS_K-PST-0093","1","","MISHON - New Dundee","",""
"BW - MISHON CAD","23/01/2023 5:30 PM","6640935","Checkout Direct","15MIS_C-CYL-0044","1","","MISHON - New Dundee","",""
"BW - MISHON CAD","23/01/2023 5:30 PM","6641094","Amazon Seller Central - CA","15KIT_MK1000966","1","","MISHON - New Dundee","Amazon Merchants@","Expedited"
"BW - MISHON","1/23/2023 5:31 PM","6641014","Amazon Seller Central - US","15MIS_C-CCH-0034_MPK2","1","","MISHONM - McDonough","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:34 PM","6641015","Amazon Seller Central - US","15MIS_K-CVB-0040","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:35 PM","6641016","Amazon Seller Central - US","15KIT_MK1001558","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:35 PM","6641020","Amazon Seller Central - US","15KIT_MK1004667","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:36 PM","6640965","eBay Motors Fixed Price US","15PRN_1391-3","1","","MISHON - New Dundee","STANDARD","BEST WAY EBAY"
"BW - MISHON","1/23/2023 5:36 PM","6641018","Amazon Seller Central - US","15MIS_C-CCH-0001_MPK2","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:37 PM","6641017","Amazon Seller Central - US","15MIS_K-CAX-0040_MPK2","1","","MISHONM - McDonough","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:37 PM","6641017","Amazon Seller Central - US","15MIS_K-CAX-0031_MPK2","1","","MISHONM - McDonough","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:37 PM","6640989","eBay Motors Fixed Price US","15KIT_MK1001428","1","","MISHONM - McDonough","STANDARD","BEST WAY EBAY"
"BW - MISHON CAD","23/01/2023 5:37 PM","6640972","Checkout Direct","15MIS_C-SMO-0161","1","","MISHON - New Dundee","",""
"BW - MISHON","1/23/2023 5:39 PM","6640986","eBay Motors Fixed Price US","15KIT_MK1004010","1","","MISHON - New Dundee","STANDARD","BEST WAY EBAY"
"BW - MISHON","1/23/2023 5:40 PM","6641019","Amazon Seller Central - US","15MIS_C-BLT-0112","1","","MISHONC - Chesterfield","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:42 PM","6641022","Amazon Seller Central - US","15MIS_K-PAD-0009","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:42 PM","6641021","Amazon Seller Central - US","15MIS_K-CAX-0136","1","","MISHONC - Chesterfield","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:42 PM","6640991","eBay Motors Fixed Price US","15MIS_C-SSL-0010","2","","MISHON - New Dundee","STANDARD","BEST WAY EBAY"
"BW - MISHON","1/23/2023 5:45 PM","6640990","eBay Motors Fixed Price US","15MIS_C-BLB-0012_GHO1","1","","MISHON - New Dundee","STANDARD","BEST WAY EBAY"
"BW - MISHON","1/23/2023 5:45 PM","6640987","eBay Motors Fixed Price US","15PRN_2966-7","1","","MISHONM - McDonough","STANDARD","BEST WAY EBAY"
"BW - MISHON","1/23/2023 5:45 PM","6641129","Walmart Marketplace","15MIS_C-CCH-0131_MPK2","1","","MISHONC - Chesterfield","Walmart","Express"
"BW - MISHON","1/23/2023 5:46 PM","6641128","Walmart Marketplace","15MIS_C-SSL-0029","1","","MISHONC - Chesterfield","Walmart","Standard"
"BW - MISHON CAD","23/01/2023 5:46 PM","6641130","Amazon Seller Central - CA","15MIS_K-CVB-0146","1","","MISHONC - Chesterfield","Amazon Merchants@","Expedited"
"BW - MISHON","1/23/2023 5:47 PM","6641024","Amazon Seller Central - US","15MIS_K-CVB-0134","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:48 PM","6641006","eBay Motors Fixed Price US","15MIS_K-TRE-0036","1","","MISHON - New Dundee","STANDARD","BEST WAY EBAY"
"BW - MISHON","1/23/2023 5:48 PM","6641023","Amazon Seller Central - US","15MIS_C-SSL-0072","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
